id,band_1,band_2,inc_angle
0125e614,"[[-16.185368 -14.525947 -15.483222 ... -17.57465  -15.320626 -15.572473]
 [-18.010025 -14.678334 -14.755606 ... -18.842388 -18.477957 -14.916622]
 [-18.355206 -15.827199 -15.915445 ... -19.896515 -22.302456 -18.842516]
 ...
 [-18.010658 -14.302897 -13.133925 ... -20.937731 -16.954662 -14.161487]
 [-18.124201 -16.850883 -16.850946 ... -19.758173 -19.223553 -17.156733]
 [-16.950089 -16.55971  -17.464323 ... -17.792442 -18.015234 -17.156733]]","[[-28.135614 -28.505346 -26.492006 ... -26.801188 -24.618362 -26.202051]
 [-25.636841 -28.135679 -27.112692 ... -23.07498  -21.765013 -26.801317]
 [-25.636841 -24.613853 -24.858606 ... -21.764948 -20.475853 -24.38044 ]
 ...
 [-24.859114 -25.11096  -23.6994   ... -22.680733 -25.917814 -25.917877]
 [-25.637474 -25.913303 -23.071232 ... -22.48983  -22.489891 -24.149439]
 [-25.110895 -29.29615  -24.614552 ... -22.48983  -22.120224 -23.280125]]",37.2103
fe8a6bf9,"[[-14.8766   -14.797337 -15.368505 ... -11.65621  -12.52269  -14.265755]
 [-14.411174 -14.87666  -16.834866 ... -13.417558 -13.553337 -15.205685]
 [-13.083035 -14.718731 -16.349493 ... -18.128126 -14.801558 -14.340311]
 ...
 [-15.980359 -14.564275 -13.687702 ...  -9.062415 -11.386314 -13.90293 ]
 [-16.163227 -18.848862 -18.723942 ... -10.670542 -12.28372  -12.769831]
 [-16.163227 -18.241209 -19.367636 ... -14.266291 -14.119128 -10.670661]]","[[-26.082706 -23.583992 -21.645849 ... -28.780899 -30.05434  -25.52647 ]
 [-25.522133 -22.000366 -20.817995 ... -28.025127 -28.780958 -25.259192]
 [-26.377171 -23.583992 -22.955879 ... -25.802118 -27.002136 -30.054399]
 ...
 [-26.998508 -22.001019 -23.804611 ... -24.265974 -25.000488 -24.748766]
 [-30.520334 -24.996265 -25.255625 ... -25.802774 -27.330599 -24.748766]
 [-30.520334 -28.02162  -26.998627 ... -27.33054  -26.382107 -25.527126]]",38.1572
4be9117c,"[[-23.863369 -22.394846 -23.637856 ... -22.997866 -21.838081 -21.311554]
 [-22.017138 -22.203991 -21.834377 ... -21.658928 -22.207748 -22.207802]
 [-22.590042 -20.19059  -20.651949 ... -23.867178 -25.635672 -25.359959]
 ...
 [-22.790422 -20.974329 -18.809721 ... -26.836329 -23.207981 -19.340111]
 [-20.496029 -19.336246 -19.753302 ... -22.998617 -21.659737 -18.813532]
 [-21.480446 -20.97438  -20.97438  ... -21.838779 -23.422459 -22.594658]]","[[-24.829464 -27.15963  -27.159681 ... -27.858627 -27.163439 -27.16349 ]
 [-26.515934 -24.333097 -25.088923 ... -29.887779 -27.163439 -26.214998]
 [-28.224537 -26.515987 -26.211243 ... -29.442251 -28.228348 -25.920534]
 ...
 [-23.204115 -25.089567 -28.225344 ... -26.520443 -31.38126  -30.358261]
 [-22.994806 -25.089567 -29.015512 ... -29.019218 -30.854679 -31.381311]
 [-25.63261  -26.832623 -26.832623 ... -28.61515  -27.859432 -27.859486]]",39.5936
9915bb7e,"[[-15.484005  -8.497372 -10.696664 ... -18.882578 -14.295903 -16.969711]
 [-10.550618 -11.359252 -15.068513 ... -15.746917 -15.153564 -15.153564]
 [-12.549409 -12.549409 -13.049515 ... -18.75766  -14.598112 -16.105268]
 ...
 [-19.137041 -16.47777  -16.47777  ... -16.674234 -18.636929 -16.386398]
 [-19.137041 -17.38232  -17.816765 ... -19.140598 -15.575727 -13.383348]
 [-16.670797 -15.745954 -18.39226  ... -14.372995 -13.586081 -13.383348]]","[[-22.986639 -18.630901 -21.170612 ... -24.295525 -26.117195 -26.117256]
 [-20.239029 -20.538633 -25.553188 ... -25.289343 -27.360214 -27.360214]
 [-23.191143 -23.191143 -24.060516 ... -24.778259 -25.832447 -25.832508]
 ...
 [-25.028957 -23.617397 -23.617397 ... -28.427477 -27.034819 -27.362688]
 [-25.028957 -23.617397 -23.193672 ... -27.034819 -26.414194 -25.834982]
 [-24.532547 -26.116234 -24.063046 ... -27.034878 -25.032578 -25.834982]]",37.6894
b7cfd2e2,"[[-18.884693 -16.946548 -16.946604 ... -17.261898 -19.551365 -18.888052]
 [-17.049341 -17.049341 -18.033756 ... -19.414576 -16.075674 -15.802852]
 [-17.365227 -16.354155 -16.645386 ... -17.58569  -16.747902 -15.802852]
 ...
 [-19.97414  -22.668169 -19.413679 ... -20.733221 -23.075544 -24.176552]
 [-23.281546 -22.473028 -21.733358 ... -18.638569 -21.220463 -21.389183]
 [-23.496021 -20.419781 -17.475534 ... -17.158968 -18.274128 -18.76366 ]]","[[-29.959797 -26.591766 -29.514381 ... -27.238708 -23.716881 -23.49703 ]
 [-28.686474 -28.686474 -30.926003 ... -30.929195 -26.290272 -25.995863]
 [-28.300369 -28.300426 -28.686584 ... -30.432779 -26.595125 -25.995863]
 ...
 [-27.932941 -26.909946 -26.289318 ... -23.284798 -24.91095  -26.597425]
 [-26.909946 -28.688824 -27.933054 ... -29.51993  -25.713295 -27.936361]
 [-25.994797 -26.289318 -30.928356 ... -30.931551 -33.261719 -29.096256]]",38.4608
22d5ef75,"[[-24.698357 -26.125517 -31.546894 ... -33.487743 -34.243553 -30.989048]
 [-24.965677 -28.220264 -26.125599 ... -26.444092 -29.965956 -28.222996]
 [-25.820717 -28.220264 -28.624372 ... -27.112564 -30.462429 -30.462471]
 ...
 [-26.770189 -28.625309 -26.442461 ... -30.463408 -30.463448 -30.463488]
 [-31.547871 -29.964287 -27.83522  ... -28.627998 -29.051826 -30.463488]
 [-29.049095 -27.83518  -24.699497 ... -26.772919 -26.772959 -29.967018]]","[[-29.963186 -30.4597   -32.146156 ... -29.965916 -29.965956 -30.462471]
 [-33.485054 -31.546894 -27.464533 ... -30.988968 -30.462429 -31.549623]
 [-32.78981  -31.546894 -29.048159 ... -28.62698  -29.965956 -28.222996]
 ...
 [-33.486031 -32.147137 -28.625351 ... -26.772919 -27.113626 -28.224012]
 [-33.486069 -30.460758 -29.494705 ... -30.463408 -29.966976 -28.224012]
 [-31.547871 -32.147175 -30.460798 ... -31.55056  -30.463448 -28.224012]]",44.4586
1472a788,"[[-17.230425 -17.542593 -18.916975 ... -20.406548 -18.322428 -18.798552]
 [-15.906166 -22.015015 -21.011749 ... -16.453926 -17.98176  -16.547962]
 [-15.312753 -19.832125 -18.793835 ... -17.338001 -20.706156 -17.442158]
 ...
 [-18.318308 -19.169422 -18.553207 ... -19.83744  -17.442757 -15.91168 ]
 [-18.672884 -18.794434 -17.757866 ... -15.400533 -15.400599 -21.504383]
 [-16.357042 -16.174242 -15.562987 ... -13.886118 -16.454725 -21.673048]]","[[-26.570843 -23.997576 -22.194111 ... -22.954533 -23.154282 -24.459684]
 [-23.997576 -24.454901 -23.997709 ... -25.720587 -25.194075 -24.942358]
 [-26.276445 -24.937574 -20.401962 ... -24.459551 -23.154282 -21.3382  ]
 ...
 [-24.4555   -22.564442 -21.012411 ... -20.261227 -25.454041 -27.197109]
 [-26.277107 -23.354614 -21.499598 ... -24.003027 -23.359398 -23.783253]
 [-23.563921 -21.840265 -21.840332 ... -25.997084 -22.199558 -22.199627]]",35.7411
010355ab,"[[-25.889074 -25.889074 -25.604317 ... -19.871517 -26.80732  -24.070614]
 [-28.987114 -29.410952 -26.488441 ... -20.470833 -21.992691 -25.331699]
 [-28.583097 -29.410952 -28.583149 ... -18.532635 -20.317152 -22.969713]
 ...
 [-25.891226 -25.330704 -23.612411 ... -25.066471 -23.39555  -23.841129]
 [-26.490488 -23.392504 -24.069721 ... -24.310699 -24.072765 -21.457453]
 [-22.968716 -21.808929 -21.808929 ... -26.493641 -26.493641 -23.181175]]","[[-28.583046 -28.583046 -31.909725 ... -26.186583 -24.805016 -24.805069]
 [-29.410898 -26.804276 -28.583149 ... -28.586142 -29.414047 -25.064421]
 [-27.472752 -26.804276 -29.411003 ... -30.329144 -29.414047 -28.586246]
 ...
 [-27.47485  -24.804125 -23.838032 ... -29.416149 -28.992363 -25.066525]
 [-25.33065  -25.063423 -25.063477 ... -27.832525 -29.861729 -23.395655]
 [-27.474901 -24.804176 -24.804176 ... -27.832577 -27.832577 -26.493692]]",39.9784
92aa3e8a,"[[-18.16547  -18.773178 -17.820404 ... -22.884829 -20.590496 -19.163435]
 [-20.902287 -18.648256 -18.648256 ... -18.90402  -17.277979 -17.824499]
 [-20.902287 -21.230152 -20.743019 ... -19.032703 -16.864286 -17.278036]
 ...
 [-17.820686 -17.934286 -18.284157 ... -18.904419 -22.490404 -22.685659]
 [-20.902683 -19.844019 -18.900494 ... -18.288139 -20.137615 -21.929886]
 [-26.008133 -24.669254 -21.571272 ... -18.52943  -20.286095 -22.112755]]","[[-29.975031 -30.44471  -29.529617 ... -27.949974 -25.727022 -26.011887]
 [-28.315603 -29.105833 -29.105833 ... -27.595398 -26.011831 -25.727079]
 [-28.315603 -28.31566  -28.315718 ... -27.595398 -24.924677 -24.190277]
 ...
 [-27.251034 -27.591759 -28.316059 ... -27.255131 -26.306696 -28.706257]
 [-27.946335 -29.975544 -29.530071 ... -27.255131 -26.306696 -28.706257]
 [-28.702105 -27.946392 -27.946449 ... -25.451599 -25.451656 -27.595911]]",38.8248
0867ca68,"[[ -7.013946  -7.568272  -8.528492 ...  -6.738846  -7.539284  -7.40623 ]
 [ -9.273883 -10.317508  -9.65081  ... -10.994293  -6.924448  -7.505944]
 [-10.179932 -10.695215  -8.196507 ... -14.149571  -7.846544  -6.987229]
 ...
 [ -9.608787 -11.773514 -13.589727 ...  -8.918226  -9.037007  -7.743793]
 [ -9.737469 -11.243723 -11.883528 ...  -7.675267 -11.146215  -7.709529]
 [-11.883397 -12.634206 -13.933087 ...  -8.022749  -8.801177  -9.444937]]","[[-22.175774 -19.677065 -18.898771 ... -25.175632 -28.201054 -28.95689 ]
 [-23.979305 -22.736416 -21.996811 ... -19.818468 -26.26292  -24.924049]
 [-21.480532 -20.23764  -19.02375  ... -17.014893 -22.001423 -20.998156]
 ...
 [-21.997469 -23.760258 -21.481455 ... -18.539614 -22.741888 -22.937149]
 [-23.336403 -24.920094 -24.675472 ... -20.099476 -20.389097 -23.765003]
 [-21.997469 -21.315939 -19.677921 ... -22.002151 -23.136768 -22.181379]]",36.6134
6193508c,"[[-20.687553 -20.846987 -20.377419 ... -14.209505 -14.284763 -13.987837]
 [-19.10393  -17.993637 -17.765102 ... -17.117104 -12.33147  -12.392055]
 [-19.507996 -18.973366 -17.433117 ... -16.609066 -12.956624 -12.892099]
 ...
 [-19.508821 -16.907309 -17.653851 ... -19.241226 -17.013962 -18.597643]
 [-15.238888 -16.705303 -18.349092 ... -21.520092 -19.108669 -19.512793]
 [-15.941161 -17.879417 -20.378246 ... -17.117987 -17.657711 -17.223381]]","[[-29.474209 -29.474262 -28.260361 ... -28.264107 -26.250761 -26.555614]
 [-27.536007 -28.646408 -27.195452 ... -29.478065 -27.894495 -27.539976]
 [-25.124529 -29.919792 -29.919846 ... -31.416321 -29.478121 -29.05439 ]
 ...
 [-29.051247 -30.39024  -27.196276 ... -25.67226  -25.957123 -26.556442]
 [-27.196167 -27.891464 -26.552582 ... -27.895269 -26.556387 -26.556442]
 [-29.920561 -30.39024  -25.125465 ... -29.924477 -29.92453  -25.129379]]",38.9108
6d819682,"[[-22.007759 -18.016373 -18.131477 ... -22.011997 -22.012058 -21.485538]
 [-22.377426 -19.241766 -19.509104 ... -23.381145 -25.266602 -22.967571]
 [-24.751225 -22.007818 -21.4813   ... -25.533884 -24.041269 -21.316933]
 ...
 [-22.764246 -23.812067 -26.690258 ... -20.220499 -22.195642 -22.57341 ]
 [-26.385342 -27.006084 -26.690258 ... -21.317472 -21.833677 -22.382504]
 [-26.090874 -25.00378  -25.003841 ... -23.816246 -21.658199 -21.486256]]","[[-26.384624 -25.262365 -26.689545 ... -24.755461 -24.510832 -26.693781]
 [-25.529585 -25.262365 -26.090279 ... -22.767769 -22.967512 -26.388981]
 [-26.384624 -28.028419 -27.673903 ... -22.012058 -25.266665 -28.032778]
 ...
 [-27.674501 -28.398802 -25.806187 ... -27.010265 -25.810366 -24.511608]
 [-28.784847 -29.188974 -26.38546  ... -28.033314 -26.694439 -24.511608]
 [-30.058229 -27.006084 -26.090994 ... -26.38958  -29.617001 -24.756298]]",38.0449
86ab9b92,"[[-26.504595 -24.502337 -20.811892 ... -26.507635 -24.008902 -25.592571]
 [-24.761637 -24.761637 -22.87628  ... -29.559837 -26.507679 -24.253633]
 [-25.30468  -23.767921 -22.876322 ... -23.53928  -25.031996 -24.008987]
 ...
 [-23.091228 -23.09127  -22.26346  ... -28.287012 -24.765228 -25.032551]
 [-24.251068 -24.00642  -23.311222 ... -24.765186 -25.032509 -24.765272]
 [-22.876751 -22.463102 -22.667526 ... -23.539793 -23.539837 -25.308319]]","[[-28.283417 -29.111313 -28.283503 ... -29.559837 -31.052553 -30.029545]
 [-30.522936 -30.522936 -31.049557 ... -36.05006  -32.212391 -30.526016]
 [-29.111313 -31.61013  -28.283546 ... -30.525972 -28.690609 -30.526058]
 ...
 [-30.523451 -29.557398 -30.027063 ... -26.50819  -28.287056 -29.114952]
 [-28.688042 -29.11187  -30.523533 ... -26.192305 -28.691122 -28.287098]
 [-27.897871 -30.523491 -28.688128 ... -32.856598 -33.551884 -31.053152]]",43.3172
d39522db,"[[-21.497089 -20.970554 -22.057747 ... -23.529215 -25.582504 -26.825504]
 [-22.252861 -23.300665 -21.497173 ... -25.582504 -24.24361  -21.869858]
 [-21.497089 -21.497133 -20.004501 ... -25.582504 -24.24361  -22.060764]
 ...
 [-25.295275 -23.996502 -22.25354  ... -23.76149  -23.529894 -26.498335]
 [-23.301216 -22.253496 -21.143192 ... -24.495947 -23.529894 -24.496031]
 [-23.996502 -22.058344 -21.143236 ... -25.022526 -23.761532 -22.660625]]","[[-26.178753 -30.51298  -28.677614 ... -26.825418 -29.104328 -29.5499  ]
 [-28.677528 -34.294102 -28.273544 ... -30.019478 -28.276518 -28.27656 ]
 [-30.512936 -31.600132 -29.1014   ... -29.104328 -27.166172 -28.680628]
 ...
 [-31.040108 -32.843681 -31.040194 ... -32.202965 -30.516588 -27.891054]
 [-29.547436 -31.040152 -29.547522 ... -33.541901 -30.020119 -27.891054]
 [-31.600725 -33.538967 -30.017185 ... -34.297672 -30.516588 -29.550537]]",43.9847
91bf5036,"[[-22.527031 -25.152674 -23.317333 ... -22.531652 -23.96558  -22.917885]
 [-21.46212  -21.978331 -21.802919 ... -22.917755 -23.96558  -23.321953]
 [-25.954954 -20.818493 -21.462252 ... -26.538849 -23.531197 -22.531784]
 ...
 [-25.679903 -25.679903 -21.297451 ... -20.670029 -23.322603 -22.723406]
 [-23.317917 -23.741768 -19.659433 ... -18.640877 -21.636189 -21.636253]
 [-23.961611 -26.535007 -20.665535 ... -19.010544 -20.51903  -20.9804  ]]","[[-27.823389 -25.152674 -25.679319 ... -24.905449 -26.538914 -29.342554]
 [-27.823389 -29.761654 -27.155041 ... -25.683807 -24.1912   -23.745739]
 [-23.11282  -25.411976 -25.679319 ... -23.965515 -23.96558  -25.15736 ]
 ...
 [-25.955669 -25.955669 -24.656918 ... -25.157948 -22.918537 -24.42362 ]
 [-28.548346 -27.824169 -23.741835 ... -28.1833   -24.661541 -23.966362]
 [-26.839743 -25.955734 -24.418999 ... -26.539564 -25.417311 -24.906294]]",36.5404
0334eec4,"[[-26.131361 -24.078175 -21.35384  ... -24.796764 -23.213203 -24.082577]
 [-27.374317 -23.208858 -20.256866 ... -25.04855  -27.719387 -29.65765 ]
 [-25.044205 -23.418169 -21.522503 ... -21.526722 -23.213203 -25.30797 ]
 ...
 [-24.548347 -23.418779 -24.310484 ... -21.358673 -21.874878 -22.423706]
 [-24.310362 -23.209473 -22.419361 ... -23.009369 -20.871546 -22.614613]
 [-26.131971 -23.633255 -21.695118 ... -23.423122 -26.735703 -29.234539]]","[[-24.078112 -26.13142  -28.43935  ... -23.21314  -24.082516 -25.30797 ]
 [-24.792423 -26.425886 -30.568457 ... -23.422451 -23.42251  -24.314215]
 [-25.84655  -27.37438  -27.046631 ... -25.04855  -24.552137 -24.796888]
 ...
 [-28.439838 -24.078785 -25.044939 ... -28.444183 -26.136377 -25.851629]
 [-25.044819 -25.044878 -25.044939 ... -27.051466 -27.379333 -25.049284]
 [-23.633196 -25.044878 -23.633318 ... -26.73564  -25.851629 -26.735764]]",37.2861
0b87e9b9,"[[-26.449587 -25.534477 -24.973944 ... -29.059174 -28.635427 -27.475632]
 [-27.118061 -26.133743 -28.632557 ... -26.780308 -25.831854 -25.537432]
 [-25.828899 -23.950853 -24.706665 ... -24.976816 -24.709578 -24.709578]
 ...
 [-24.447693 -27.842754 -25.534927 ... -26.137024 -26.780758 -29.505194]
 [-24.19591  -25.534887 -24.447775 ... -25.832264 -29.059668 -28.635921]
 [-22.407902 -24.447735 -23.951303 ... -26.45295  -26.137106 -28.635921]]","[[-28.228407 -29.056303 -27.118145 ... -31.557949 -30.997414 -31.558029]
 [-30.467882 -29.971451 -29.056343 ... -30.470795 -29.059216 -26.452579]
 [-28.632477 -28.632517 -29.501873 ... -28.231361 -26.452579 -26.452579]
 ...
 [-27.473047 -26.450039 -27.473127 ... -26.452908 -27.476002 -32.801399]
 [-26.134111 -23.951263 -28.228901 ... -28.635841 -30.471287 -29.059708]
 [-24.447693 -25.534887 -25.534927 ... -29.974775 -30.997868 -29.059708]]",43.9577
